posting_date,id,region,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,VIN,drive,size,type,state,lat,long,odometer_tier,description,tx_avg
2021-04-16T10:00:59-0500,7307704203,clarksville,32000.0,2019,ram,1500 classic,excellent,,gas,20077.0,clean,automatic,1C6RR6TTXKS721981,rwd,,pickup,tn,36.302267,-86.636868,low_mi,2019 ram 1500 classic low_mi,33995.0
2021-04-23T20:48:25-0500,7311694206,nashville,29900.0,2019,ford,f-150,like new,8 cylinders,gas,23004.0,clean,automatic,1FTMF1C59KKD08613,rwd,full-size,truck,tn,36.4641,-86.65828,low_mi,2019 ford f-150 low_mi,38500.0
2021-04-09T10:31:41-0500,7304171835,sheboygan,37497.0,2019,ram,1500,excellent,8 cylinders,gas,39320.0,clean,automatic,1C6SRFFTXKN571009,4wd,mid-size,truck,wi,44.07818,-87.6968,mid_mi,2019 ram 1500 mid_mi,45990.0
2021-05-02T07:11:28-0700,7315726866,phoenix,39590.0,2019,chevrolet,silverado 1500 ld,good,8 cylinders,gas,23488.0,clean,other,2GCVKPEC2K1203961,4wd,,pickup,az,33.5,-112.05,low_mi,2019 chevrolet silverado 1500 ld low_mi,34990.0
2021-05-02T08:41:28-0700,7315765867,los angeles,25990.0,2019,nissan,frontier crew cab sv,good,6 cylinders,other,36493.0,clean,other,1N6AD0ER1KN760604,fwd,,pickup,ca,33.88,-118.4,mid_mi,2019 nissan frontier crew cab sv mid_mi,27990.0
2021-04-16T09:15:18-0700,7307754160,bakersfield,66995.0,2019,ford,super duty f-250 srw,excellent,8 cylinders,diesel,53692.0,clean,automatic,1FT7W2BT7KEG05655,4wd,,pickup,ca,35.119931,-120.57697,mid_to_high_mi,2019 ford super duty f-250 srw mid_to_high_mi,41788.0
2021-04-19T08:00:28-0700,7309235671,bend,37999.0,2019,ford,f-150 xlt,like new,6 cylinders,gas,25907.0,clean,automatic,1FTEW1EP5KKD77771,4wd,full-size,truck,or,44.259291,-121.179693,mid_mi,2019 ford f-150 xlt mid_mi,42999.0
2021-04-23T06:40:52-0500,7311259508,baton rouge,34590.0,2019,toyota,tacoma double cab sr5,good,6 cylinders,gas,35680.0,clean,other,5TFCZ5AN4KX176828,4wd,,pickup,la,30.44,-91.12,mid_mi,2019 toyota tacoma double cab sr5 mid_mi,33590.0
2021-04-10T15:32:06-0700,7304935512,bakersfield,33950.0,2019,ford,f-150 xl,excellent,6 cylinders,gas,28158.0,clean,automatic,1FTEX1EP8KKF06969,4wd,,truck,ca,34.076749,-117.89112,mid_mi,2019 ford f-150 xl mid_mi,41988.0
2021-04-29T19:08:29-0700,7314648509,prescott,31886.0,2019,ram,1500,like new,8 cylinders,gas,35327.0,clean,automatic,1C6RR6TT5KS716283,rwd,full-size,truck,az,34.586025,-112.318347,mid_mi,2019 ram 1500 mid_mi,45990.0
2021-05-01T02:00:20-0400,7315190092,long island,54900.0,2019,ram,1500,excellent,,gas,29975.0,clean,automatic,1C6SRFHT3KN512171,4wd,,pickup,ny,40.668604,-73.4094,mid_mi,2019 ram 1500 mid_mi,45990.0
2021-04-29T13:30:38-0500,7314437272,madison,40995.0,2019,ram,1500,good,8 cylinders,gas,30694.0,clean,automatic,1C6SRFFT9KN585290,4wd,full-size,truck,wi,42.970214,-90.112347,mid_mi,2019 ram 1500 mid_mi,45990.0
2021-04-28T22:33:38-0700,7314203780,prescott,25999.0,2019,nissan,frontier,like new,6 cylinders,gas,35343.0,clean,automatic,1N6AD0EV8KN794570,4wd,mid-size,truck,az,34.586025,-112.318347,mid_mi,2019 nissan frontier mid_mi,16999.0
2021-04-14T11:02:18-0500,7306702489,green bay,39990.0,2018,ford,f-150,excellent,6 cylinders,gas,37126.0,clean,automatic,1FTEW1EG8JFB53191,4wd,full-size,pickup,wi,44.7851,-88.6036,mid_mi,2018 ford f-150 mid_mi,33750.0
2021-04-21T13:25:23-0400,7310418972,western massachusetts,54900.0,2018,ford,f-150,excellent,6 cylinders,gas,37211.0,clean,automatic,1FTEW1EG1JFB48172,4wd,mid-size,truck,ma,42.4759,-73.3773,mid_mi,2018 ford f-150 mid_mi,33750.0
2021-04-17T11:02:27-0700,7308359456,bend,38999.0,2018,ford,f-150,excellent,6 cylinders,gas,42330.0,clean,automatic,1FTEW1EG6JFA09784,4wd,full-size,truck,or,44.259056,-121.180015,mid_mi,2018 ford f-150 mid_mi,33750.0
2021-04-15T15:54:27-0500,7307403786,madison,37994.0,2018,ford,f-150,like new,6 cylinders,gas,35259.0,clean,automatic,1FTEW1EP6JFE05049,4wd,full-size,truck,wi,42.822728,-89.631271,mid_mi,2018 ford f-150 mid_mi,33750.0
2021-04-18T14:55:22-0500,7308902896,texarkana,38990.0,2018,ford,f-150,like new,6 cylinders,gas,43200.0,clean,automatic,1FTEW1CG8JKF02148,rwd,full-size,truck,ar,33.428447,-94.040163,mid_mi,2018 ford f-150 mid_mi,33750.0
2021-04-20T13:28:38-0400,7309902258,western massachusetts,43900.0,2018,ford,f-150,excellent,6 cylinders,gas,44304.0,clean,automatic,1FTFW1EG5JFC95843,4wd,mid-size,truck,ma,42.4759,-73.3773,mid_mi,2018 ford f-150 mid_mi,33750.0
2021-04-26T13:29:05-0400,7312897968,albany,44900.0,2018,ford,f-150,excellent,6 cylinders,gas,32907.0,clean,automatic,1FTEW1EP6JFC07975,4wd,mid-size,truck,ny,42.4759,-73.3773,mid_mi,2018 ford f-150 mid_mi,33750.0
2021-05-04T07:51:37-0700,7316713699,los angeles,33990.0,2018,ford,f150 supercrew cab xlt,good,,other,32188.0,clean,other,1FTEW1CP4JKD08538,,,pickup,ca,34.61,-118.27,mid_mi,2018 ford f150 supercrew cab xlt mid_mi,30990.0
2021-04-29T21:31:05-0400,7314637972,atlanta,32990.0,2018,chevrolet,silverado 1500 double,good,8 cylinders,gas,37844.0,clean,other,1GCRCREC1JZ282717,,,pickup,ga,33.75,-84.39,mid_mi,2018 chevrolet silverado 1500 double mid_mi,32590.0
2021-05-01T15:40:53-0700,7315548628,sacramento,31590.0,2018,chevrolet,silverado 1500 double,good,8 cylinders,gas,38253.0,clean,other,1GCRCPEC6JZ205233,,,pickup,ca,38.58,-121.49,mid_mi,2018 chevrolet silverado 1500 double mid_mi,32590.0
2021-04-23T11:29:28-0400,7311362635,albany,49900.0,2018,ford,f-150,excellent,6 cylinders,gas,37903.0,clean,automatic,1FTFW1EG3JKF97509,4wd,mid-size,truck,ny,42.4759,-73.3773,mid_mi,2018 ford f-150 mid_mi,33750.0
2021-05-04T13:32:32-0400,7316815727,detroit metro,36000.0,2018,ford,f-150,excellent,6 cylinders,gas,38212.0,clean,automatic,1FTEW1EP5JFD42283,4wd,mid-size,truck,mi,42.55021,-83.7895,mid_mi,2018 ford f-150 mid_mi,33750.0
2021-04-22T10:31:30-0400,7310819205,greensboro,38990.0,2018,ford,f150 supercrew cab xlt,good,6 cylinders,gas,36881.0,clean,automatic,1FTEW1EG7JFB24488,4wd,,pickup,nc,36.07,-79.82,mid_mi,2018 ford f150 supercrew cab xlt mid_mi,30990.0
2021-04-12T13:57:45-0700,7305855482,stockton,36999.0,2018,ford,f-150,excellent,6 cylinders,gas,61959.0,clean,automatic,1FTEW1EG4JKC28136,4wd,full-size,pickup,ca,38.608933,-121.430188,high_mi,2018 ford f-150 high_mi,38900.0
2021-04-24T09:51:18-0500,7311848519,champaign urbana,38590.0,2018,ford,f150 supercrew cab xlt,good,6 cylinders,gas,28033.0,clean,other,1FTEW1CPXJFA05532,,,pickup,il,40.11,-88.26,mid_mi,2018 ford f150 supercrew cab xlt mid_mi,30990.0
2021-05-03T18:23:53-0500,7316498836,chicago,39988.0,2018,ford,f-150,excellent,8 cylinders,gas,61860.0,clean,automatic,1FTEW1E50JFC25032,4wd,full-size,truck,il,41.96089,-87.711894,high_mi,2018 ford f-150 high_mi,38900.0
2021-04-09T16:18:23-0400,7304354712,scranton / wilkes-barre,41995.0,2018,ram,1500,good,8 cylinders,gas,28098.0,clean,automatic,1C6RR7NT6JS208907,4wd,,truck,pa,41.381951,-75.685531,mid_mi,2018 ram 1500 mid_mi,35000.0
2021-04-17T04:00:30-0700,7308147966,stockton,46590.0,2018,gmc,sierra 1500 crew cab slt,good,8 cylinders,gas,20251.0,clean,other,3GTU2NECXJG609153,4wd,,pickup,ca,33.779214,-84.411811,low_mi,2018 gmc sierra 1500 crew cab slt low_mi,44590.0
2021-04-28T12:24:47-0500,7313911974,wichita,32990.0,2018,ford,f-150,good,6 cylinders,gas,28517.0,clean,automatic,1FTEW1E58JKF39969,,full-size,truck,ks,37.69318,-97.32853,mid_mi,2018 ford f-150 mid_mi,33750.0
2021-04-26T11:45:09-0700,7312948312,bend,48995.0,2018,ford,f-150,excellent,,gas,68269.0,clean,automatic,1FTEW1EGXJFA44845,4wd,,pickup,or,44.039006,-121.303704,high_mi,2018 ford f-150 high_mi,38900.0
2021-04-19T15:30:17-0700,7309534061,bend,33995.0,2018,ford,f-150,excellent,,gas,68438.0,clean,automatic,1FTFW1E53JKE52095,4wd,,pickup,or,44.039006,-121.303704,high_mi,2018 ford f-150 high_mi,38900.0
2021-04-29T10:51:17-0700,7314414133,san luis obispo,39995.0,2018,ram,1500,good,8 cylinders,gas,28493.0,clean,automatic,1C6RR7LT1JS238657,4wd,full-size,truck,ca,35.482265,-120.660756,mid_mi,2018 ram 1500 mid_mi,35000.0
2021-04-07T09:17:38-0500,7303085535,st cloud,41995.0,2018,ford,f-150,excellent,6 cylinders,gas,60107.0,clean,automatic,1FTEW1EG4JFA31962,4wd,full-size,pickup,mn,45.833119,-95.387931,high_mi,2018 ford f-150 high_mi,38900.0
2021-04-24T03:35:23-0700,7311766791,stockton,37990.0,2018,chevrolet,silverado 1500 crew,good,,other,31408.0,clean,other,3GCUKRECXJG599201,4wd,,pickup,ca,33.779214,-84.411811,mid_mi,2018 chevrolet silverado 1500 crew mid_mi,33990.0
2021-05-04T13:33:22-0400,7316816255,albany,44900.0,2018,ford,f-150,excellent,6 cylinders,gas,31391.0,clean,automatic,1FTFW1EG4JFE33940,4wd,mid-size,truck,ny,42.4759,-73.3773,mid_mi,2018 ford f-150 mid_mi,33750.0
2021-04-23T12:30:15-0400,7311402143,cincinnati,38998.0,2018,ford,f-150,excellent,,gas,36842.0,clean,automatic,1FTEW1EP7JFB15662,4wd,,pickup,oh,40.57628,-84.1798,mid_mi,2018 ford f-150 mid_mi,33750.0
2021-04-20T14:33:00-0400,7309945964,ft myers / SW florida,43900.0,2018,ford,f-150,excellent,6 cylinders,gas,29882.0,clean,automatic,1FTEW1EG0JFE59110,4wd,mid-size,truck,fl,26.14679,-81.76667,mid_mi,2018 ford f-150 mid_mi,33750.0
2021-04-17T17:15:30-0700,7308555896,santa maria,38995.0,2018,ford,f-150,excellent,6 cylinders,gas,61041.0,clean,automatic,1FTEW1EBXJKC27402,4wd,,pickup,ca,35.119931,-120.57697,high_mi,2018 ford f-150 high_mi,38900.0
2021-04-28T09:36:52-0400,7313778350,tampa bay area,35900.0,2018,ford,f-150,good,6 cylinders,gas,74089.0,clean,automatic,1FTEW1EP5JKC88278,4wd,full-size,truck,fl,27.98612,-82.27038,high_mi,2018 ford f-150 high_mi,38900.0
2021-04-26T04:11:04-0700,7312707102,modesto,39590.0,2018,chevrolet,silverado 1500 crew,good,8 cylinders,gas,31325.0,clean,other,3GCPCREC8JG644646,,,pickup,ca,33.779214,-84.411811,mid_mi,2018 chevrolet silverado 1500 crew mid_mi,33990.0
2021-04-07T06:41:12-0700,7303065968,santa barbara,33990.0,2018,ford,f150 super cab lariat,good,6 cylinders,other,26732.0,clean,other,1FTEX1EPXJFB66473,4wd,,pickup,ca,33.7865,-84.4454,mid_mi,2018 ford f150 super cab lariat mid_mi,33590.0
2021-05-01T13:04:04-0500,7315405373,des moines,35995.0,2018,chevrolet,silverado 1500,excellent,8 cylinders,gas,74636.0,clean,automatic,3GCUKSEC2JG617178,4wd,,truck,ia,41.600223,-93.69852,high_mi,2018 chevrolet silverado 1500 high_mi,39990.0
